634301921032.0;18,19,24
634301921063.0;18,19,24
7713042197999.0;18,19,24
608037549426.0;18,19,24
608037549440.0;18,19,24
641945997149.0;18,19,24
641945997279.0;18,19,24
641945996937.0;18,19,24
7798140258230.0;18,19,24
650240006753.0;18,19,24
641945996463.0;18,19,24
641945996371.0;18,19,24
703980504468.0;18,19,24
703980503935.0;18,19,24
7713042197845.0;18,19,24
793573989567.0;18,19,24
641945996562.0;18,19,24
793573989574.0;18,19,24
8470003245920.0;Del 13 al 19 de Mayo
8470001855107.0;Del 13 al 19 de Mayo
8470003245913.0;Del 13 al 19 de Mayo
8470001806475.0;Del 13 al 19 de Mayo
7798182770639.0;13 al 19 mayo
7798182770387.0;13 al 19 mayo
7798182771100.0;13 al 19 mayo
7798182771117.0;13 al 19 mayo
8470001864802.0;Del 13 al 19 de Mayo
8429420138933.0;Del 13 al 19 de Mayo
7798182770721.0;13 al 19 mayo
7798182771186.0;13 al 19 mayo
7798182770707.0;13 al 19 mayo
7798182770226.0;13 al 19 mayo
7798182770349.0;13 al 19 mayo
7798182770356.0;13 al 19 mayo
7798182770363.0;13 al 19 mayo
7798182770370.0;13 al 19 mayo
8470001691880.0;Del 13 al 19 de Mayo
8470003913423.0;Del 13 al 19 de Mayo
8429420152120.0;Del 13 al 19 de Mayo
703980503805.0;18,19,24
703980504215.0;18,19,24
703980504031.0;18,19,24
703980504161.0;18,19,24
